Generated by myTrafficdata,,,
SDR: Lochowicejezior,,27 lut 26 10:07:02,
26 lut 26 9:06:36,1,4.0 m,27 km/h
26 lut 26 9:06:37,2,6.7 m,55 km/h
26 lut 26 9:07:30,1,19.4 m,50 km/h
26 lut 26 9:07:38,2,6.1 m,58 km/h
26 lut 26 9:08:16,2,10.3 m,29 km/h
26 lut 26 9:08:18,2,6.3 m,33 km/h
26 lut 26 9:08:57,1,18.6 m,59 km/h
26 lut 26 9:10:18,1,3.3 m,61 km/h
26 lut 26 9:11:10,1,3.2 m,56 km/h
26 lut 26 9:13:09,2,4.2 m,55 km/h
26 lut 26 9:13:40,1,21.0 m,42 km/h
26 lut 26 9:14:20,1,7.2 m,63 km/h
26 lut 26 9:15:15,2,4.3 m,22 km/h
26 lut 26 9:15:42,2,4.0 m,54 km/h
26 lut 26 9:15:44,2,3.7 m,47 km/h
26 lut 26 9:15:47,2,7.4 m,52 km/h
26 lut 26 9:16:08,1,4.1 m,55 km/h
26 lut 26 9:16:56,1,4.9 m,63 km/h
26 lut 26 9:19:08,1,4.6 m,59 km/h
26 lut 26 9:21:50,1,4.3 m,59 km/h
26 lut 26 9:23:07,1,4.2 m,56 km/h
26 lut 26 9:24:08,2,6.9 m,58 km/h
26 lut 26 9:24:37,1,21.9 m,58 km/h
26 lut 26 9:25:00,1,4.1 m,58 km/h
26 lut 26 9:25:31,1,8.7 m,47 km/h
26 lut 26 9:27:22,1,4.1 m,50 km/h
26 lut 26 9:28:47,2,3.7 m,29 km/h
26 lut 26 9:30:35,1,4.7 m,38 km/h
26 lut 26 9:31:24,2,3.8 m,51 km/h
26 lut 26 9:31:27,2,4.8 m,41 km/h
26 lut 26 9:31:32,1,4.0 m,72 km/h
26 lut 26 9:32:18,1,3.7 m,104 km/h
26 lut 26 9:32:35,2,16.9 m,69 km/h
26 lut 26 9:34:26,1,4.4 m,43 km/h
26 lut 26 9:36:07,1,9.6 m,37 km/h
26 lut 26 9:36:55,2,4.3 m,52 km/h
26 lut 26 9:37:00,2,17.4 m,53 km/h
26 lut 26 9:37:04,2,4.2 m,52 km/h
26 lut 26 9:37:18,1,4.1 m,72 km/h
26 lut 26 9:37:32,1,10.5 m,50 km/h
26 lut 26 9:38:00,2,9.8 m,42 km/h
26 lut 26 9:38:00,1,2.2 m,42 km/h
26 lut 26 9:38:01,2,3.8 m,47 km/h
26 lut 26 9:38:12,1,4.4 m,70 km/h
26 lut 26 9:38:22,2,3.8 m,26 km/h
26 lut 26 9:38:26,2,4.2 m,34 km/h
26 lut 26 9:39:08,1,4.2 m,59 km/h
26 lut 26 9:42:32,2,3.9 m,44 km/h
26 lut 26 9:43:04,2,20.1 m,54 km/h
26 lut 26 9:43:14,2,18.3 m,32 km/h
26 lut 26 9:43:15,2,5.3 m,33 km/h
26 lut 26 9:43:17,2,4.4 m,31 km/h
26 lut 26 9:44:59,1,4.7 m,55 km/h
26 lut 26 9:45:32,2,5.2 m,50 km/h
26 lut 26 9:45:36,1,1.9 m,49 km/h
26 lut 26 9:46:18,2,5.5 m,24 km/h
26 lut 26 9:47:33,2,5.7 m,44 km/h
26 lut 26 9:47:46,1,3.9 m,51 km/h
26 lut 26 9:48:30,1,4.6 m,67 km/h
26 lut 26 9:49:35,1,3.9 m,110 km/h
26 lut 26 9:50:12,1,3.5 m,48 km/h
26 lut 26 9:50:58,1,4.1 m,32 km/h
26 lut 26 9:51:01,2,3.8 m,44 km/h
26 lut 26 9:52:06,2,6.2 m,57 km/h
26 lut 26 9:52:14,2,3.9 m,26 km/h
26 lut 26 9:52:51,1,3.4 m,53 km/h
26 lut 26 9:52:55,2,3.5 m,49 km/h
26 lut 26 9:53:36,2,3.9 m,21 km/h
26 lut 26 9:54:09,1,4.5 m,50 km/h
26 lut 26 9:55:03,1,3.8 m,49 km/h
26 lut 26 9:55:13,1,3.3 m,70 km/h
26 lut 26 9:55:37,2,7.2 m,33 km/h
26 lut 26 9:56:03,2,3.8 m,52 km/h
26 lut 26 9:56:34,2,5.1 m,52 km/h
26 lut 26 9:57:54,1,4.2 m,60 km/h
26 lut 26 9:58:06,2,3.9 m,103 km/h
26 lut 26 9:58:41,1,4.6 m,53 km/h
26 lut 26 9:58:54,2,4.0 m,45 km/h
26 lut 26 9:59:06,2,4.0 m,35 km/h
26 lut 26 10:00:01,2,4.1 m,24 km/h
26 lut 26 10:02:02,2,4.6 m,30 km/h
26 lut 26 10:02:18,2,3.4 m,23 km/h
26 lut 26 10:03:27,2,3.5 m,53 km/h
26 lut 26 10:04:27,2,4.4 m,23 km/h
26 lut 26 10:04:32,2,19.1 m,26 km/h
26 lut 26 10:04:36,2,17.4 m,34 km/h
26 lut 26 10:04:37,1,5.1 m,43 km/h
26 lut 26 10:05:55,2,6.7 m,30 km/h
26 lut 26 10:06:28,1,4.6 m,51 km/h
26 lut 26 10:06:34,1,4.5 m,60 km/h
26 lut 26 10:06:43,2,4.4 m,55 km/h
26 lut 26 10:06:48,1,4.0 m,54 km/h
26 lut 26 10:07:47,1,3.8 m,49 km/h
26 lut 26 10:07:48,2,4.8 m,61 km/h
26 lut 26 10:08:16,1,3.9 m,52 km/h
26 lut 26 10:08:21,2,4.1 m,62 km/h
26 lut 26 10:08:57,1,4.7 m,50 km/h
26 lut 26 10:09:11,2,3.8 m,59 km/h
26 lut 26 10:09:29,1,3.8 m,60 km/h
26 lut 26 10:09:41,1,4.0 m,42 km/h
26 lut 26 10:11:08,2,4.1 m,51 km/h
26 lut 26 10:11:51,1,5.4 m,45 km/h
26 lut 26 10:11:56,1,0.5 m,49 km/h
26 lut 26 10:12:31,1,4.0 m,57 km/h
26 lut 26 10:12:56,1,3.7 m,42 km/h
26 lut 26 10:12:59,1,3.9 m,48 km/h
26 lut 26 10:13:02,1,3.9 m,53 km/h
26 lut 26 10:13:11,2,4.9 m,59 km/h
26 lut 26 10:13:28,2,5.4 m,48 km/h
26 lut 26 10:14:20,1,4.9 m,50 km/h
26 lut 26 10:14:58,2,4.2 m,53 km/h
26 lut 26 10:15:00,2,5.3 m,55 km/h
26 lut 26 10:16:22,1,8.7 m,52 km/h
26 lut 26 10:18:02,1,4.1 m,28 km/h
26 lut 26 10:18:06,1,4.5 m,45 km/h
26 lut 26 10:18:55,1,3.1 m,52 km/h
26 lut 26 10:19:03,1,4.7 m,40 km/h
26 lut 26 10:20:18,2,3.3 m,45 km/h
26 lut 26 10:21:09,1,4.4 m,62 km/h
26 lut 26 10:21:35,1,3.5 m,50 km/h
26 lut 26 10:24:02,2,4.0 m,29 km/h
26 lut 26 10:24:12,1,4.7 m,62 km/h
26 lut 26 10:24:58,1,4.4 m,64 km/h
26 lut 26 10:27:04,1,4.3 m,53 km/h
26 lut 26 10:27:28,2,4.2 m,24 km/h
26 lut 26 10:27:41,2,3.8 m,32 km/h
26 lut 26 10:28:09,1,13.7 m,50 km/h
26 lut 26 10:28:16,1,3.6 m,52 km/h
26 lut 26 10:29:10,1,21.1 m,75 km/h
26 lut 26 10:29:46,1,19.4 m,37 km/h
26 lut 26 10:30:07,1,4.1 m,46 km/h
26 lut 26 10:30:16,2,4.3 m,51 km/h
26 lut 26 10:30:18,2,5.4 m,48 km/h
26 lut 26 10:30:24,2,4.7 m,57 km/h
26 lut 26 10:30:43,2,0.7 m,53 km/h
26 lut 26 10:30:56,1,8.1 m,49 km/h
26 lut 26 10:31:43,2,4.3 m,63 km/h
26 lut 26 10:32:28,1,3.8 m,49 km/h
26 lut 26 10:32:36,1,4.2 m,54 km/h
26 lut 26 10:33:42,2,8.4 m,55 km/h
26 lut 26 10:34:09,1,19.2 m,51 km/h
26 lut 26 10:35:36,1,4.6 m,48 km/h
26 lut 26 10:35:53,1,4.9 m,53 km/h
26 lut 26 10:36:04,2,5.7 m,60 km/h
26 lut 26 10:36:12,2,4.6 m,49 km/h
26 lut 26 10:36:16,1,4.7 m,29 km/h
26 lut 26 10:36:23,2,5.3 m,16 km/h
26 lut 26 10:37:01,2,4.3 m,18 km/h
26 lut 26 10:37:04,1,4.1 m,55 km/h
26 lut 26 10:37:08,1,5.0 m,61 km/h
26 lut 26 10:37:12,1,4.1 m,46 km/h
26 lut 26 10:37:13,2,4.0 m,42 km/h
26 lut 26 10:38:10,1,4.3 m,75 km/h
26 lut 26 10:39:01,2,4.5 m,54 km/h
26 lut 26 10:40:06,2,3.5 m,46 km/h
26 lut 26 10:40:37,1,7.1 m,44 km/h
26 lut 26 10:40:48,1,6.0 m,65 km/h
26 lut 26 10:40:53,1,3.8 m,53 km/h
26 lut 26 10:41:21,1,5.1 m,58 km/h
26 lut 26 10:42:46,2,4.0 m,56 km/h
26 lut 26 10:45:02,2,4.3 m,56 km/h
26 lut 26 10:45:52,1,5.7 m,56 km/h
26 lut 26 10:46:14,1,20.5 m,28 km/h
26 lut 26 10:46:56,2,4.0 m,64 km/h
26 lut 26 10:47:41,1,6.6 m,57 km/h
26 lut 26 10:48:18,2,4.1 m,87 km/h
26 lut 26 10:48:49,2,4.1 m,48 km/h
26 lut 26 10:51:52,1,4.0 m,49 km/h
26 lut 26 10:52:14,2,4.3 m,39 km/h
26 lut 26 10:52:18,1,7.0 m,52 km/h
26 lut 26 10:52:20,1,4.4 m,56 km/h
26 lut 26 10:53:02,2,4.6 m,23 km/h
26 lut 26 10:53:15,2,3.7 m,46 km/h
26 lut 26 10:54:33,2,3.5 m,52 km/h
26 lut 26 10:54:59,2,5.3 m,49 km/h
26 lut 26 10:55:37,1,4.5 m,54 km/h
26 lut 26 10:56:18,1,4.5 m,50 km/h
26 lut 26 10:56:27,2,5.3 m,54 km/h
26 lut 26 10:58:38,1,3.5 m,57 km/h
26 lut 26 10:59:01,2,3.7 m,50 km/h
26 lut 26 10:59:03,2,4.6 m,52 km/h
26 lut 26 10:59:37,1,4.9 m,35 km/h
26 lut 26 11:00:54,2,8.0 m,53 km/h
26 lut 26 11:01:19,1,15.3 m,25 km/h
26 lut 26 11:03:36,2,7.9 m,24 km/h
26 lut 26 11:04:14,1,4.2 m,54 km/h
26 lut 26 11:04:27,2,4.5 m,46 km/h
26 lut 26 11:04:37,2,4.8 m,52 km/h
26 lut 26 11:04:55,1,4.2 m,52 km/h
26 lut 26 11:05:00,1,4.4 m,57 km/h
26 lut 26 11:05:13,2,7.5 m,33 km/h
26 lut 26 11:05:16,1,5.1 m,37 km/h
26 lut 26 11:05:18,1,3.5 m,37 km/h
26 lut 26 11:05:21,1,4.4 m,40 km/h
26 lut 26 11:05:23,1,4.3 m,43 km/h
26 lut 26 11:07:00,1,4.5 m,56 km/h
26 lut 26 11:07:43,2,11.5 m,20 km/h
26 lut 26 11:08:04,1,16.1 m,56 km/h
26 lut 26 11:08:32,2,4.0 m,17 km/h
26 lut 26 11:09:17,1,4.5 m,51 km/h
26 lut 26 11:10:18,2,4.5 m,55 km/h
26 lut 26 11:10:19,2,4.1 m,57 km/h
26 lut 26 11:10:40,1,3.9 m,53 km/h
26 lut 26 11:10:52,1,3.9 m,60 km/h
26 lut 26 11:12:25,1,19.7 m,54 km/h
26 lut 26 11:12:29,1,18.6 m,56 km/h
26 lut 26 11:12:43,1,4.6 m,54 km/h
26 lut 26 11:12:46,1,4.5 m,55 km/h
26 lut 26 11:12:51,1,4.4 m,60 km/h
26 lut 26 11:13:53,1,21.1 m,53 km/h
26 lut 26 11:13:59,1,4.6 m,53 km/h
26 lut 26 11:14:10,2,6.1 m,27 km/h
26 lut 26 11:14:12,1,3.9 m,34 km/h
26 lut 26 11:14:41,2,4.1 m,52 km/h
26 lut 26 11:15:00,1,4.8 m,36 km/h
26 lut 26 11:15:08,2,19.0 m,58 km/h
26 lut 26 11:16:30,2,4.7 m,116 km/h
26 lut 26 11:16:42,2,6.6 m,50 km/h
26 lut 26 11:16:52,2,4.6 m,18 km/h
26 lut 26 11:16:55,2,5.3 m,27 km/h
26 lut 26 11:16:59,1,5.4 m,43 km/h
26 lut 26 11:18:57,2,19.9 m,44 km/h
26 lut 26 11:19:23,2,19.5 m,44 km/h
26 lut 26 11:19:24,2,4.4 m,46 km/h
26 lut 26 11:20:58,2,19.1 m,38 km/h
26 lut 26 11:21:10,2,4.0 m,52 km/h
26 lut 26 11:21:26,2,5.1 m,38 km/h
26 lut 26 11:22:05,1,4.3 m,55 km/h
26 lut 26 11:22:41,1,4.4 m,61 km/h
26 lut 26 11:23:25,2,4.1 m,62 km/h
26 lut 26 11:24:20,1,4.3 m,55 km/h
26 lut 26 11:25:11,1,4.5 m,52 km/h
26 lut 26 11:25:52,2,4.3 m,48 km/h
26 lut 26 11:25:54,2,6.1 m,48 km/h
26 lut 26 11:28:49,2,5.0 m,26 km/h
26 lut 26 11:29:55,1,4.3 m,55 km/h
26 lut 26 11:29:57,1,3.6 m,58 km/h
26 lut 26 11:30:20,2,3.2 m,31 km/h
26 lut 26 11:32:38,1,4.7 m,47 km/h
26 lut 26 11:33:07,2,6.0 m,39 km/h
26 lut 26 11:33:10,2,3.2 m,37 km/h
26 lut 26 11:33:14,2,4.5 m,40 km/h
26 lut 26 11:33:37,2,4.0 m,43 km/h
26 lut 26 11:33:58,1,4.3 m,52 km/h
26 lut 26 11:34:13,2,18.8 m,60 km/h
26 lut 26 11:35:59,1,4.5 m,46 km/h
26 lut 26 11:36:33,1,19.5 m,46 km/h
26 lut 26 11:36:43,1,4.2 m,51 km/h
26 lut 26 11:37:36,2,6.9 m,36 km/h
26 lut 26 11:38:37,2,1.8 m,22 km/h
26 lut 26 11:38:57,2,4.4 m,40 km/h
26 lut 26 11:39:49,1,4.6 m,53 km/h
26 lut 26 11:40:26,1,4.5 m,59 km/h
26 lut 26 11:40:36,1,3.3 m,61 km/h
26 lut 26 11:40:37,2,6.9 m,44 km/h
26 lut 26 11:41:20,2,4.5 m,47 km/h
26 lut 26 11:41:55,2,4.3 m,54 km/h
26 lut 26 11:42:01,2,5.6 m,50 km/h
26 lut 26 11:42:03,2,4.2 m,50 km/h
26 lut 26 11:42:08,1,4.7 m,50 km/h
26 lut 26 11:43:08,2,4.1 m,28 km/h
26 lut 26 11:44:32,2,4.2 m,54 km/h
26 lut 26 11:45:09,2,4.7 m,44 km/h
26 lut 26 11:45:43,2,5.4 m,48 km/h
26 lut 26 11:46:57,2,4.1 m,21 km/h
26 lut 26 11:47:04,1,4.4 m,52 km/h
26 lut 26 11:47:49,2,9.0 m,36 km/h
26 lut 26 11:48:21,1,5.2 m,59 km/h
26 lut 26 11:48:27,1,8.5 m,56 km/h
26 lut 26 11:49:00,1,4.6 m,58 km/h
26 lut 26 11:51:58,2,3.4 m,47 km/h
26 lut 26 11:52:07,1,3.7 m,53 km/h
26 lut 26 11:52:14,2,3.5 m,46 km/h
26 lut 26 11:52:16,2,4.3 m,45 km/h
26 lut 26 11:52:37,2,4.0 m,51 km/h
26 lut 26 11:53:01,2,3.2 m,57 km/h
26 lut 26 11:53:18,2,4.3 m,45 km/h
26 lut 26 11:55:08,2,3.7 m,26 km/h
26 lut 26 11:55:15,2,4.5 m,52 km/h
26 lut 26 11:55:59,2,4.4 m,57 km/h
26 lut 26 11:56:38,1,4.6 m,59 km/h
26 lut 26 11:56:41,1,5.3 m,56 km/h
26 lut 26 11:56:46,2,3.6 m,29 km/h
26 lut 26 11:58:11,1,3.8 m,53 km/h
26 lut 26 11:59:36,2,4.1 m,39 km/h
26 lut 26 12:00:37,2,3.9 m,49 km/h
26 lut 26 12:01:32,2,4.4 m,32 km/h
26 lut 26 12:01:33,1,3.6 m,33 km/h
26 lut 26 12:01:37,2,5.2 m,31 km/h
26 lut 26 12:01:41,2,19.8 m,33 km/h
26 lut 26 12:02:17,2,3.8 m,45 km/h
26 lut 26 12:02:19,2,4.1 m,57 km/h
26 lut 26 12:02:23,1,12.2 m,54 km/h
26 lut 26 12:02:24,1,4.0 m,57 km/h
26 lut 26 12:02:49,1,3.8 m,51 km/h
26 lut 26 12:03:06,1,3.7 m,35 km/h
26 lut 26 12:03:25,1,4.6 m,57 km/h
26 lut 26 12:03:56,1,11.0 m,47 km/h
26 lut 26 12:05:11,1,4.6 m,55 km/h
26 lut 26 12:05:18,1,2.9 m,48 km/h
26 lut 26 12:05:53,1,4.2 m,56 km/h
26 lut 26 12:05:59,2,4.2 m,63 km/h
26 lut 26 12:06:32,2,7.1 m,73 km/h
26 lut 26 12:07:11,1,3.5 m,33 km/h
26 lut 26 12:07:53,1,5.1 m,58 km/h
26 lut 26 12:08:00,2,3.7 m,62 km/h
26 lut 26 12:08:39,2,4.3 m,58 km/h
26 lut 26 12:08:44,2,4.3 m,52 km/h
26 lut 26 12:10:01,2,4.9 m,82 km/h
26 lut 26 12:10:16,1,7.5 m,38 km/h
26 lut 26 12:10:18,1,5.3 m,43 km/h
26 lut 26 12:10:44,1,4.1 m,64 km/h
26 lut 26 12:11:27,2,18.9 m,42 km/h
26 lut 26 12:12:53,1,5.1 m,31 km/h
26 lut 26 12:13:11,2,3.5 m,59 km/h
26 lut 26 12:14:01,2,6.4 m,52 km/h
26 lut 26 12:15:40,2,18.8 m,57 km/h
26 lut 26 12:16:03,1,20.7 m,23 km/h
26 lut 26 12:16:05,1,4.4 m,24 km/h
26 lut 26 12:16:10,1,21.6 m,38 km/h
26 lut 26 12:16:16,1,7.8 m,57 km/h
26 lut 26 12:16:31,1,6.1 m,49 km/h
26 lut 26 12:17:10,2,4.7 m,53 km/h
26 lut 26 12:17:17,1,4.8 m,54 km/h
26 lut 26 12:17:40,2,4.2 m,32 km/h
26 lut 26 12:17:54,1,8.8 m,51 km/h
26 lut 26 12:18:51,1,4.9 m,65 km/h
26 lut 26 12:20:26,2,4.3 m,49 km/h
26 lut 26 12:22:08,1,4.5 m,36 km/h
26 lut 26 12:22:11,2,4.6 m,45 km/h
26 lut 26 12:22:17,2,4.2 m,54 km/h
26 lut 26 12:22:20,2,4.7 m,56 km/h
26 lut 26 12:23:24,1,9.0 m,30 km/h
26 lut 26 12:23:37,1,5.0 m,47 km/h
26 lut 26 12:23:41,1,4.9 m,46 km/h
26 lut 26 12:24:40,2,10.2 m,51 km/h
26 lut 26 12:25:13,2,3.7 m,47 km/h
26 lut 26 12:25:18,1,5.3 m,56 km/h
26 lut 26 12:25:24,1,4.8 m,70 km/h
26 lut 26 12:25:59,2,3.9 m,48 km/h
26 lut 26 12:26:00,2,4.6 m,46 km/h
26 lut 26 12:27:23,2,3.3 m,31 km/h
26 lut 26 12:27:27,2,3.7 m,48 km/h
26 lut 26 12:27:33,2,4.1 m,52 km/h
26 lut 26 12:27:37,1,4.3 m,46 km/h
26 lut 26 12:27:43,2,3.8 m,55 km/h
26 lut 26 12:28:25,2,3.5 m,22 km/h
26 lut 26 12:28:27,2,6.1 m,34 km/h
26 lut 26 12:28:39,1,4.0 m,54 km/h
26 lut 26 12:29:03,1,4.0 m,72 km/h
26 lut 26 12:29:22,2,4.6 m,25 km/h
26 lut 26 12:30:19,2,4.7 m,56 km/h
26 lut 26 12:30:50,1,4.3 m,48 km/h
26 lut 26 12:31:48,2,4.2 m,34 km/h
26 lut 26 12:32:03,1,4.0 m,45 km/h
26 lut 26 12:33:02,2,4.3 m,71 km/h
26 lut 26 12:33:23,2,3.9 m,52 km/h
26 lut 26 12:34:03,2,4.4 m,52 km/h
26 lut 26 12:34:17,2,4.7 m,51 km/h
26 lut 26 12:34:59,1,4.7 m,50 km/h
26 lut 26 12:35:10,2,3.3 m,20 km/h
26 lut 26 12:35:32,1,4.1 m,64 km/h
26 lut 26 12:38:49,2,4.8 m,53 km/h
26 lut 26 12:38:58,1,18.8 m,55 km/h
26 lut 26 12:39:54,2,4.3 m,61 km/h
26 lut 26 12:42:08,2,3.7 m,51 km/h
26 lut 26 12:42:16,2,5.9 m,49 km/h
26 lut 26 12:42:47,1,4.3 m,66 km/h
26 lut 26 12:42:55,2,4.4 m,59 km/h
26 lut 26 12:43:03,2,4.3 m,61 km/h
26 lut 26 12:43:31,1,3.8 m,58 km/h
26 lut 26 12:45:03,1,4.2 m,58 km/h
26 lut 26 12:45:10,2,4.3 m,56 km/h
26 lut 26 12:45:51,2,4.1 m,56 km/h
26 lut 26 12:45:55,2,4.6 m,43 km/h
26 lut 26 12:46:30,1,3.7 m,66 km/h
26 lut 26 12:46:42,1,4.2 m,64 km/h
26 lut 26 12:47:04,1,4.7 m,108 km/h
26 lut 26 12:47:21,2,6.3 m,55 km/h
26 lut 26 12:48:49,2,4.1 m,58 km/h
26 lut 26 12:49:38,1,7.1 m,52 km/h
26 lut 26 12:51:43,1,4.4 m,104 km/h
26 lut 26 12:52:21,1,6.5 m,50 km/h
26 lut 26 12:52:39,2,4.7 m,32 km/h
26 lut 26 12:53:21,2,6.8 m,48 km/h
26 lut 26 12:53:50,1,4.9 m,40 km/h
26 lut 26 12:54:34,2,1.5 m,18 km/h
26 lut 26 12:55:09,2,2.9 m,48 km/h
26 lut 26 12:55:21,1,4.4 m,59 km/h
26 lut 26 12:55:57,1,4.2 m,63 km/h
26 lut 26 12:56:15,1,4.6 m,67 km/h
26 lut 26 12:57:02,1,3.6 m,74 km/h
26 lut 26 12:57:09,2,4.5 m,69 km/h
26 lut 26 12:57:53,2,3.8 m,59 km/h
26 lut 26 12:58:32,2,5.2 m,56 km/h
26 lut 26 12:58:54,1,4.1 m,103 km/h
26 lut 26 12:59:11,2,4.1 m,55 km/h
26 lut 26 12:59:23,1,3.8 m,58 km/h
26 lut 26 12:59:55,2,4.7 m,52 km/h
26 lut 26 13:00:00,2,4.8 m,49 km/h
26 lut 26 13:01:04,1,5.4 m,42 km/h
26 lut 26 13:01:14,1,4.4 m,53 km/h
26 lut 26 13:02:23,2,5.3 m,57 km/h
26 lut 26 13:02:34,1,4.2 m,53 km/h
26 lut 26 13:02:45,1,5.7 m,80 km/h
26 lut 26 13:03:09,1,4.4 m,70 km/h
26 lut 26 13:03:42,2,3.7 m,54 km/h
26 lut 26 13:04:44,1,7.8 m,59 km/h
26 lut 26 13:04:52,1,11.4 m,60 km/h
26 lut 26 13:05:22,2,4.2 m,51 km/h
26 lut 26 13:06:09,2,4.3 m,46 km/h
26 lut 26 13:06:33,1,4.1 m,24 km/h
26 lut 26 13:07:38,2,4.5 m,81 km/h
26 lut 26 13:07:53,2,4.1 m,54 km/h
26 lut 26 13:08:03,2,4.3 m,49 km/h
26 lut 26 13:08:19,1,7.6 m,48 km/h
26 lut 26 13:08:56,2,3.7 m,49 km/h
26 lut 26 13:09:03,1,4.4 m,48 km/h
26 lut 26 13:10:34,1,4.3 m,49 km/h
26 lut 26 13:11:59,1,1.6 m,51 km/h
26 lut 26 13:13:24,1,19.4 m,49 km/h
26 lut 26 13:13:29,1,4.8 m,54 km/h
26 lut 26 13:13:33,2,5.0 m,57 km/h
26 lut 26 13:13:39,1,13.1 m,38 km/h
26 lut 26 13:14:23,2,3.9 m,56 km/h
26 lut 26 13:14:45,1,3.6 m,65 km/h
26 lut 26 13:15:04,1,3.9 m,21 km/h
