Generated by myTrafficdata,,,
SDR: 1145F,,7 maj 26 12:54:56,
5 maj 26 13:09:28,1,4.2 m,50 km/h
5 maj 26 13:09:30,1,4.2 m,49 km/h
5 maj 26 13:10:06,1,4.1 m,44 km/h
5 maj 26 13:12:37,1,4.1 m,44 km/h
5 maj 26 13:13:12,2,4.6 m,40 km/h
5 maj 26 13:13:38,1,3.1 m,42 km/h
5 maj 26 13:13:50,2,4.9 m,51 km/h
5 maj 26 13:16:24,1,3.9 m,55 km/h
5 maj 26 13:16:31,2,4.2 m,56 km/h
5 maj 26 13:17:19,1,3.9 m,55 km/h
5 maj 26 13:17:36,2,4.4 m,50 km/h
5 maj 26 13:18:06,1,4.0 m,42 km/h
5 maj 26 13:19:17,2,4.2 m,55 km/h
5 maj 26 13:19:19,2,5.2 m,53 km/h
5 maj 26 13:19:21,2,4.1 m,54 km/h
5 maj 26 13:20:34,2,4.0 m,50 km/h
5 maj 26 13:21:33,2,5.0 m,69 km/h
5 maj 26 13:21:49,1,4.6 m,60 km/h
5 maj 26 13:22:11,1,4.5 m,65 km/h
5 maj 26 13:22:49,2,4.4 m,52 km/h
5 maj 26 13:22:54,1,3.3 m,49 km/h
5 maj 26 13:23:07,2,4.9 m,67 km/h
5 maj 26 13:25:13,2,4.5 m,63 km/h
5 maj 26 13:25:32,1,4.1 m,63 km/h
5 maj 26 13:26:02,1,4.4 m,67 km/h
5 maj 26 13:26:53,1,2.4 m,37 km/h
5 maj 26 13:26:54,2,3.9 m,59 km/h
5 maj 26 13:28:00,1,4.3 m,52 km/h
5 maj 26 13:29:08,2,6.0 m,65 km/h
5 maj 26 13:30:50,1,8.3 m,47 km/h
5 maj 26 13:30:50,1,4.1 m,48 km/h
5 maj 26 13:33:49,2,6.1 m,53 km/h
5 maj 26 13:35:24,1,4.5 m,42 km/h
5 maj 26 13:37:02,2,4.3 m,57 km/h
5 maj 26 13:37:19,1,3.1 m,41 km/h
5 maj 26 13:38:09,1,4.4 m,34 km/h
5 maj 26 13:39:07,2,4.3 m,59 km/h
5 maj 26 13:42:16,1,5.7 m,47 km/h
5 maj 26 13:42:34,1,5.9 m,28 km/h
5 maj 26 13:45:10,1,4.0 m,47 km/h
5 maj 26 13:45:57,2,5.2 m,62 km/h
5 maj 26 13:46:25,1,3.6 m,48 km/h
5 maj 26 13:47:07,1,4.1 m,48 km/h
5 maj 26 13:50:04,2,4.4 m,44 km/h
5 maj 26 13:50:18,1,4.2 m,59 km/h
5 maj 26 13:51:56,2,4.6 m,57 km/h
5 maj 26 13:55:19,2,5.4 m,32 km/h
5 maj 26 13:56:38,1,4.4 m,64 km/h
5 maj 26 13:57:04,1,5.9 m,48 km/h
5 maj 26 13:57:29,2,5.3 m,54 km/h
5 maj 26 13:59:45,1,4.7 m,58 km/h
5 maj 26 14:02:33,2,4.2 m,44 km/h
5 maj 26 14:03:23,2,5.2 m,57 km/h
5 maj 26 14:03:59,1,12.9 m,43 km/h
5 maj 26 14:04:57,1,12.7 m,27 km/h
5 maj 26 14:06:47,2,4.6 m,41 km/h
5 maj 26 14:06:49,2,4.6 m,40 km/h
5 maj 26 14:07:42,2,4.4 m,58 km/h
5 maj 26 14:07:55,1,4.2 m,48 km/h
5 maj 26 14:08:50,2,3.8 m,47 km/h
5 maj 26 14:09:21,2,4.3 m,81 km/h
5 maj 26 14:10:04,1,3.5 m,32 km/h
5 maj 26 14:10:58,1,5.7 m,59 km/h
5 maj 26 14:11:54,2,3.7 m,75 km/h
5 maj 26 14:13:15,1,6.1 m,33 km/h
5 maj 26 14:13:16,1,6.9 m,30 km/h
5 maj 26 14:13:55,1,4.0 m,50 km/h
5 maj 26 14:14:03,1,4.3 m,48 km/h
5 maj 26 14:14:15,1,3.9 m,40 km/h
5 maj 26 14:14:30,2,6.4 m,73 km/h
5 maj 26 14:14:48,2,4.3 m,25 km/h
5 maj 26 14:15:06,1,4.8 m,46 km/h
5 maj 26 14:15:42,2,5.7 m,31 km/h
5 maj 26 14:16:07,2,5.0 m,60 km/h
5 maj 26 14:16:29,1,3.2 m,55 km/h
5 maj 26 14:16:53,1,3.4 m,56 km/h
5 maj 26 14:16:56,1,6.1 m,59 km/h
5 maj 26 14:17:32,2,4.5 m,67 km/h
5 maj 26 14:17:37,1,6.1 m,46 km/h
5 maj 26 14:18:23,1,4.5 m,41 km/h
5 maj 26 14:18:55,1,5.0 m,49 km/h
5 maj 26 14:19:19,2,3.9 m,73 km/h
5 maj 26 14:20:01,1,4.0 m,42 km/h
5 maj 26 14:20:39,1,3.4 m,58 km/h
5 maj 26 14:22:40,1,4.5 m,48 km/h
5 maj 26 14:22:52,2,4.9 m,69 km/h
5 maj 26 14:23:08,2,4.8 m,66 km/h
5 maj 26 14:23:20,2,3.5 m,48 km/h
5 maj 26 14:23:24,1,10.4 m,36 km/h
5 maj 26 14:25:14,2,4.5 m,49 km/h
5 maj 26 14:25:28,2,16.2 m,18 km/h
5 maj 26 14:26:15,1,4.6 m,73 km/h
5 maj 26 14:26:42,2,3.8 m,67 km/h
5 maj 26 14:28:40,2,6.2 m,56 km/h
5 maj 26 14:29:12,1,4.0 m,67 km/h
5 maj 26 14:29:43,1,4.0 m,44 km/h
5 maj 26 14:29:44,1,3.9 m,49 km/h
5 maj 26 14:31:01,2,4.9 m,51 km/h
5 maj 26 14:31:12,2,5.3 m,79 km/h
5 maj 26 14:31:23,1,5.5 m,45 km/h
5 maj 26 14:31:34,2,4.2 m,57 km/h
5 maj 26 14:31:57,2,5.5 m,78 km/h
5 maj 26 14:32:19,2,4.3 m,59 km/h
5 maj 26 14:33:16,2,4.9 m,50 km/h
5 maj 26 14:33:45,2,6.8 m,25 km/h
5 maj 26 14:33:50,1,4.3 m,67 km/h
5 maj 26 14:34:03,1,3.7 m,68 km/h
5 maj 26 14:34:03,1,1.8 m,85 km/h
5 maj 26 14:34:38,1,4.4 m,58 km/h
5 maj 26 14:35:58,2,4.3 m,49 km/h
5 maj 26 14:36:14,1,3.8 m,63 km/h
5 maj 26 14:37:42,2,4.1 m,68 km/h
5 maj 26 14:37:56,2,3.9 m,56 km/h
5 maj 26 14:38:13,2,13.7 m,46 km/h
5 maj 26 14:38:46,2,3.3 m,40 km/h
5 maj 26 14:39:38,2,4.2 m,69 km/h
5 maj 26 14:41:16,1,3.2 m,64 km/h
5 maj 26 14:42:44,1,4.2 m,48 km/h
5 maj 26 14:43:15,1,10.0 m,57 km/h
5 maj 26 14:43:37,1,6.2 m,53 km/h
5 maj 26 14:45:31,2,7.0 m,51 km/h
5 maj 26 14:45:56,2,4.0 m,18 km/h
5 maj 26 14:46:42,2,3.8 m,66 km/h
5 maj 26 14:47:33,2,8.5 m,42 km/h
5 maj 26 14:48:34,2,7.2 m,57 km/h
5 maj 26 14:49:52,2,4.5 m,54 km/h
5 maj 26 14:52:16,2,5.2 m,52 km/h
5 maj 26 14:52:58,2,5.8 m,40 km/h
5 maj 26 14:53:22,2,4.8 m,55 km/h
5 maj 26 14:55:45,1,4.2 m,39 km/h
5 maj 26 14:55:45,1,4.3 m,39 km/h
5 maj 26 14:55:51,2,3.9 m,55 km/h
5 maj 26 14:55:53,1,6.7 m,42 km/h
5 maj 26 14:55:55,1,4.3 m,41 km/h
5 maj 26 14:55:58,2,4.3 m,47 km/h
5 maj 26 14:56:06,1,4.4 m,59 km/h
5 maj 26 14:56:11,1,3.3 m,57 km/h
5 maj 26 14:56:16,1,7.0 m,29 km/h
5 maj 26 14:56:23,1,7.8 m,56 km/h
5 maj 26 14:56:33,1,7.6 m,36 km/h
5 maj 26 14:57:18,2,7.6 m,41 km/h
5 maj 26 14:57:22,2,3.4 m,39 km/h
5 maj 26 14:57:31,2,3.7 m,41 km/h
5 maj 26 14:57:33,2,5.5 m,43 km/h
5 maj 26 14:57:39,2,5.1 m,50 km/h
5 maj 26 14:57:45,1,4.0 m,55 km/h
5 maj 26 14:57:58,2,4.0 m,48 km/h
5 maj 26 14:58:07,2,6.6 m,45 km/h
5 maj 26 14:58:19,2,5.8 m,53 km/h
5 maj 26 14:58:46,1,4.6 m,50 km/h
5 maj 26 15:00:01,1,4.0 m,46 km/h
5 maj 26 15:01:24,1,5.4 m,42 km/h
5 maj 26 15:02:17,1,10.0 m,30 km/h
5 maj 26 15:02:50,2,4.5 m,51 km/h
5 maj 26 15:03:11,1,5.5 m,53 km/h
5 maj 26 15:03:14,2,8.9 m,41 km/h
5 maj 26 15:04:41,2,3.1 m,50 km/h
5 maj 26 15:04:54,1,4.9 m,40 km/h
5 maj 26 15:05:01,2,5.1 m,54 km/h
5 maj 26 15:05:03,2,4.7 m,50 km/h
5 maj 26 15:05:40,2,4.8 m,46 km/h
5 maj 26 15:05:53,1,4.8 m,53 km/h
5 maj 26 15:06:38,1,3.8 m,52 km/h
5 maj 26 15:06:38,1,2.4 m,55 km/h
5 maj 26 15:06:39,2,13.5 m,45 km/h
5 maj 26 15:06:41,2,3.8 m,47 km/h
5 maj 26 15:06:43,1,3.7 m,65 km/h
5 maj 26 15:07:32,2,4.6 m,66 km/h
5 maj 26 15:07:37,1,4.1 m,50 km/h
5 maj 26 15:07:51,1,4.8 m,53 km/h
5 maj 26 15:09:43,1,4.3 m,45 km/h
5 maj 26 15:10:42,2,5.1 m,56 km/h
5 maj 26 15:10:43,2,5.2 m,52 km/h
5 maj 26 15:10:55,1,4.2 m,54 km/h
5 maj 26 15:12:42,2,5.6 m,59 km/h
5 maj 26 15:13:10,2,4.5 m,72 km/h
5 maj 26 15:13:21,1,4.3 m,71 km/h
5 maj 26 15:13:41,2,5.2 m,57 km/h
5 maj 26 15:14:43,2,4.5 m,47 km/h
5 maj 26 15:15:54,2,5.3 m,61 km/h
5 maj 26 15:16:33,2,4.8 m,65 km/h
5 maj 26 15:16:44,2,4.1 m,58 km/h
5 maj 26 15:17:17,2,4.4 m,52 km/h
5 maj 26 15:18:08,1,3.9 m,70 km/h
5 maj 26 15:18:52,2,3.9 m,71 km/h
5 maj 26 15:19:29,1,4.1 m,52 km/h
5 maj 26 15:20:12,2,4.9 m,58 km/h
5 maj 26 15:20:19,2,5.1 m,60 km/h
5 maj 26 15:21:50,2,4.4 m,63 km/h
5 maj 26 15:22:03,2,7.1 m,62 km/h
5 maj 26 15:22:31,1,6.2 m,51 km/h
5 maj 26 15:22:31,1,0.8 m,48 km/h
5 maj 26 15:23:18,2,3.7 m,61 km/h
5 maj 26 15:24:22,2,6.5 m,60 km/h
5 maj 26 15:24:59,2,4.4 m,55 km/h
5 maj 26 15:25:42,2,6.1 m,41 km/h
5 maj 26 15:25:52,2,4.9 m,65 km/h
5 maj 26 15:26:13,1,4.7 m,44 km/h
5 maj 26 15:26:33,2,3.8 m,59 km/h
5 maj 26 15:26:54,2,4.1 m,50 km/h
5 maj 26 15:27:36,2,4.3 m,57 km/h
5 maj 26 15:28:27,2,4.0 m,59 km/h
5 maj 26 15:28:39,2,4.0 m,80 km/h
5 maj 26 15:29:01,1,4.6 m,33 km/h
5 maj 26 15:29:11,1,4.3 m,55 km/h
5 maj 26 15:29:12,2,3.7 m,44 km/h
5 maj 26 15:29:58,2,4.1 m,65 km/h
5 maj 26 15:30:06,2,4.3 m,64 km/h
5 maj 26 15:30:42,1,3.9 m,50 km/h
5 maj 26 15:32:21,2,4.8 m,58 km/h
5 maj 26 15:32:36,1,3.9 m,40 km/h
5 maj 26 15:33:05,2,0.8 m,10 km/h
5 maj 26 15:33:36,1,3.7 m,53 km/h
5 maj 26 15:33:39,2,4.1 m,52 km/h
5 maj 26 15:33:41,2,4.7 m,47 km/h
5 maj 26 15:33:57,1,4.3 m,60 km/h
5 maj 26 15:36:20,2,4.6 m,50 km/h
5 maj 26 15:36:32,1,7.0 m,90 km/h
