Generated by myTrafficdata,,,
SDR: 1147F,,16 kwi 26 10:19:26,
15 kwi 26 14:39:49,1,4.1 m,71 km/h
15 kwi 26 14:43:15,1,3.9 m,74 km/h
15 kwi 26 14:50:32,2,7.5 m,73 km/h
15 kwi 26 14:53:37,1,4.7 m,49 km/h
15 kwi 26 14:56:46,1,3.2 m,70 km/h
15 kwi 26 14:56:55,2,4.5 m,58 km/h
15 kwi 26 14:59:32,2,4.7 m,67 km/h
15 kwi 26 15:02:42,1,4.8 m,42 km/h
15 kwi 26 15:03:34,2,4.3 m,89 km/h
15 kwi 26 15:04:09,2,14.0 m,67 km/h
15 kwi 26 15:05:18,1,4.0 m,52 km/h
15 kwi 26 15:05:21,2,4.0 m,59 km/h
15 kwi 26 15:07:04,2,4.8 m,86 km/h
15 kwi 26 15:07:15,2,4.4 m,72 km/h
15 kwi 26 15:08:57,1,4.3 m,24 km/h
15 kwi 26 15:11:01,2,3.7 m,68 km/h
15 kwi 26 15:11:02,2,4.9 m,71 km/h
15 kwi 26 15:11:04,2,4.7 m,73 km/h
15 kwi 26 15:16:55,1,4.4 m,76 km/h
15 kwi 26 15:17:20,2,4.6 m,59 km/h
15 kwi 26 15:18:51,1,3.8 m,79 km/h
15 kwi 26 15:20:28,2,3.8 m,62 km/h
15 kwi 26 15:21:06,2,4.6 m,75 km/h
15 kwi 26 15:23:09,1,4.3 m,82 km/h
15 kwi 26 15:23:28,2,4.0 m,29 km/h
15 kwi 26 15:25:15,1,4.6 m,58 km/h
15 kwi 26 15:25:41,1,5.3 m,77 km/h
15 kwi 26 15:26:29,1,3.9 m,92 km/h
15 kwi 26 15:27:09,2,4.5 m,90 km/h
15 kwi 26 15:27:28,2,5.8 m,70 km/h
15 kwi 26 15:27:49,1,4.3 m,73 km/h
15 kwi 26 15:28:59,2,5.4 m,81 km/h
15 kwi 26 15:29:35,2,4.0 m,73 km/h
15 kwi 26 15:31:36,1,4.6 m,73 km/h
15 kwi 26 15:31:41,1,15.0 m,36 km/h
15 kwi 26 15:33:41,2,3.4 m,77 km/h
15 kwi 26 15:35:54,1,4.3 m,58 km/h
15 kwi 26 15:37:15,2,4.3 m,69 km/h
15 kwi 26 15:37:26,1,3.9 m,59 km/h
15 kwi 26 15:39:22,2,7.7 m,71 km/h
15 kwi 26 15:41:54,1,5.8 m,84 km/h
15 kwi 26 15:42:53,1,3.8 m,80 km/h
15 kwi 26 15:44:21,2,5.8 m,80 km/h
15 kwi 26 15:44:25,2,4.9 m,77 km/h
15 kwi 26 15:48:17,1,4.3 m,62 km/h
15 kwi 26 15:49:07,2,4.9 m,87 km/h
15 kwi 26 15:51:35,1,4.9 m,59 km/h
15 kwi 26 15:54:37,1,3.7 m,74 km/h
15 kwi 26 15:55:27,2,7.7 m,74 km/h
15 kwi 26 16:01:34,2,4.2 m,68 km/h
15 kwi 26 16:02:51,1,4.4 m,70 km/h
15 kwi 26 16:03:12,2,4.9 m,68 km/h
15 kwi 26 16:04:14,1,4.6 m,71 km/h
15 kwi 26 16:05:14,2,13.2 m,61 km/h
15 kwi 26 16:05:20,2,4.3 m,79 km/h
15 kwi 26 16:07:06,1,4.6 m,57 km/h
15 kwi 26 16:07:08,2,4.6 m,57 km/h
15 kwi 26 16:08:05,1,6.2 m,73 km/h
15 kwi 26 16:08:22,1,7.1 m,51 km/h
15 kwi 26 16:10:23,1,4.1 m,112 km/h
15 kwi 26 16:10:52,2,4.4 m,77 km/h
15 kwi 26 16:13:24,1,4.3 m,78 km/h
15 kwi 26 16:15:02,2,4.4 m,76 km/h
15 kwi 26 16:15:55,1,4.7 m,88 km/h
15 kwi 26 16:16:30,2,4.0 m,50 km/h
15 kwi 26 16:16:38,1,4.5 m,60 km/h
15 kwi 26 16:17:34,1,4.2 m,86 km/h
15 kwi 26 16:18:59,1,3.9 m,81 km/h
15 kwi 26 16:20:44,2,6.9 m,67 km/h
15 kwi 26 16:20:50,1,7.8 m,44 km/h
15 kwi 26 16:21:37,2,4.3 m,80 km/h
15 kwi 26 16:23:11,1,3.3 m,28 km/h
15 kwi 26 16:23:26,2,4.3 m,41 km/h
15 kwi 26 16:24:06,1,5.2 m,72 km/h
15 kwi 26 16:26:04,1,4.1 m,82 km/h
15 kwi 26 16:27:13,2,4.2 m,56 km/h
15 kwi 26 16:29:52,2,0.9 m,93 km/h
15 kwi 26 16:30:02,2,4.0 m,76 km/h
15 kwi 26 16:30:16,2,4.0 m,95 km/h
15 kwi 26 16:30:32,1,4.3 m,89 km/h
15 kwi 26 16:31:18,1,4.7 m,65 km/h
15 kwi 26 16:33:44,1,1.4 m,98 km/h
15 kwi 26 16:38:26,1,4.3 m,61 km/h
15 kwi 26 16:39:54,2,4.4 m,65 km/h
15 kwi 26 16:41:17,2,4.6 m,69 km/h
15 kwi 26 16:41:42,1,4.3 m,71 km/h
15 kwi 26 16:42:00,2,5.4 m,56 km/h
15 kwi 26 16:46:05,1,4.9 m,93 km/h
15 kwi 26 16:51:20,1,3.5 m,68 km/h
15 kwi 26 16:52:09,1,3.4 m,73 km/h
15 kwi 26 16:52:12,2,3.9 m,71 km/h
15 kwi 26 16:55:10,2,10.4 m,36 km/h
15 kwi 26 16:56:56,2,3.9 m,55 km/h
15 kwi 26 17:04:33,1,4.4 m,54 km/h
15 kwi 26 17:05:38,1,4.5 m,89 km/h
15 kwi 26 17:07:00,2,5.7 m,44 km/h
15 kwi 26 17:07:02,1,4.4 m,47 km/h
15 kwi 26 17:08:28,2,4.1 m,80 km/h
15 kwi 26 17:13:38,2,4.9 m,84 km/h
15 kwi 26 17:15:42,1,3.0 m,97 km/h
15 kwi 26 17:15:58,1,1.3 m,110 km/h
15 kwi 26 17:22:21,1,3.6 m,60 km/h
15 kwi 26 17:22:23,2,4.6 m,48 km/h
15 kwi 26 17:22:44,2,3.4 m,65 km/h
15 kwi 26 17:23:53,1,4.0 m,62 km/h
15 kwi 26 17:25:38,2,4.5 m,60 km/h
15 kwi 26 17:32:32,2,4.3 m,82 km/h
15 kwi 26 17:37:33,2,5.1 m,99 km/h
15 kwi 26 17:41:20,2,4.3 m,104 km/h
15 kwi 26 17:41:48,1,4.9 m,70 km/h
15 kwi 26 17:43:36,1,3.7 m,66 km/h
15 kwi 26 17:45:18,2,5.0 m,65 km/h
15 kwi 26 17:45:31,1,4.3 m,70 km/h
15 kwi 26 17:45:34,1,4.3 m,72 km/h
15 kwi 26 17:45:51,2,4.5 m,59 km/h
15 kwi 26 17:48:12,1,3.9 m,60 km/h
15 kwi 26 17:48:31,1,4.5 m,76 km/h
15 kwi 26 17:50:14,1,3.4 m,90 km/h
15 kwi 26 17:53:45,2,5.7 m,64 km/h
15 kwi 26 17:55:48,1,5.0 m,71 km/h
15 kwi 26 17:59:44,1,3.7 m,49 km/h
15 kwi 26 18:03:53,1,5.2 m,69 km/h
15 kwi 26 18:06:40,2,6.6 m,67 km/h
15 kwi 26 18:07:17,1,4.9 m,64 km/h
15 kwi 26 18:14:11,2,4.1 m,75 km/h
15 kwi 26 18:14:51,2,5.0 m,71 km/h
15 kwi 26 18:19:30,2,4.2 m,77 km/h
15 kwi 26 18:21:09,1,4.2 m,112 km/h
15 kwi 26 18:23:11,1,4.7 m,86 km/h
15 kwi 26 18:39:47,1,4.3 m,51 km/h
15 kwi 26 18:40:17,1,3.5 m,66 km/h
15 kwi 26 18:40:28,2,4.9 m,109 km/h
15 kwi 26 18:42:11,2,4.7 m,64 km/h
15 kwi 26 18:45:56,1,1.0 m,29 km/h
15 kwi 26 18:47:41,1,4.5 m,73 km/h
15 kwi 26 18:49:29,1,3.9 m,61 km/h
15 kwi 26 18:50:23,2,4.8 m,67 km/h
15 kwi 26 18:51:14,2,5.8 m,72 km/h
15 kwi 26 18:51:15,1,3.2 m,75 km/h
15 kwi 26 18:51:43,1,4.3 m,69 km/h
15 kwi 26 18:53:24,2,4.8 m,54 km/h
15 kwi 26 18:54:03,2,5.4 m,46 km/h
15 kwi 26 18:54:04,2,4.3 m,42 km/h
15 kwi 26 18:57:27,2,4.8 m,74 km/h
15 kwi 26 18:59:46,1,5.2 m,69 km/h
15 kwi 26 19:00:01,2,4.9 m,71 km/h
15 kwi 26 19:02:52,2,4.7 m,54 km/h
15 kwi 26 19:05:23,1,4.6 m,74 km/h
15 kwi 26 19:08:01,1,4.3 m,51 km/h
15 kwi 26 19:08:17,1,5.8 m,54 km/h
15 kwi 26 19:13:07,1,3.9 m,53 km/h
15 kwi 26 19:13:54,2,4.7 m,78 km/h
15 kwi 26 19:15:20,2,3.8 m,71 km/h
15 kwi 26 19:15:37,2,4.3 m,71 km/h
15 kwi 26 19:15:39,2,4.2 m,72 km/h
15 kwi 26 19:17:41,1,4.1 m,78 km/h
15 kwi 26 19:18:20,1,7.3 m,79 km/h
15 kwi 26 19:19:02,1,4.3 m,74 km/h
15 kwi 26 19:20:05,1,4.9 m,69 km/h
15 kwi 26 19:23:03,1,4.6 m,79 km/h
15 kwi 26 19:23:38,1,4.6 m,66 km/h
15 kwi 26 19:25:48,2,4.3 m,110 km/h
15 kwi 26 19:27:39,2,4.8 m,57 km/h
15 kwi 26 19:32:04,1,4.5 m,94 km/h
15 kwi 26 19:35:15,2,4.7 m,81 km/h
15 kwi 26 19:38:04,2,3.6 m,69 km/h
15 kwi 26 19:38:51,2,4.1 m,63 km/h
15 kwi 26 19:39:50,1,4.3 m,59 km/h
15 kwi 26 19:42:35,2,5.0 m,91 km/h
15 kwi 26 19:43:41,1,7.7 m,95 km/h
15 kwi 26 19:44:14,1,8.9 m,44 km/h
15 kwi 26 19:44:24,1,4.5 m,62 km/h
15 kwi 26 19:45:00,2,4.1 m,76 km/h
15 kwi 26 19:47:44,2,4.3 m,13 km/h
15 kwi 26 19:52:42,2,3.4 m,57 km/h
15 kwi 26 19:58:33,1,4.6 m,56 km/h
15 kwi 26 19:59:35,2,4.4 m,78 km/h
15 kwi 26 20:00:19,1,3.7 m,88 km/h
15 kwi 26 20:00:58,2,3.8 m,64 km/h
15 kwi 26 20:03:45,2,4.0 m,78 km/h
15 kwi 26 20:04:10,1,4.5 m,80 km/h
15 kwi 26 20:07:21,1,3.8 m,69 km/h
15 kwi 26 20:09:09,1,5.1 m,73 km/h
15 kwi 26 20:17:40,2,6.4 m,58 km/h
15 kwi 26 20:21:37,1,5.3 m,39 km/h
15 kwi 26 20:23:20,2,4.7 m,60 km/h
15 kwi 26 20:27:00,1,4.1 m,56 km/h
15 kwi 26 20:27:23,1,3.5 m,78 km/h
15 kwi 26 20:27:31,1,4.0 m,77 km/h
15 kwi 26 20:32:56,2,5.2 m,62 km/h
15 kwi 26 20:44:56,1,7.2 m,82 km/h
15 kwi 26 20:49:13,1,6.7 m,81 km/h
15 kwi 26 20:50:08,2,4.6 m,99 km/h
15 kwi 26 20:53:09,1,4.8 m,42 km/h
15 kwi 26 20:53:47,2,5.3 m,57 km/h
15 kwi 26 21:06:14,1,4.0 m,58 km/h
15 kwi 26 21:17:42,1,1.3 m,32 km/h
15 kwi 26 21:22:15,1,5.4 m,59 km/h
15 kwi 26 21:36:41,2,5.7 m,61 km/h
15 kwi 26 21:53:44,1,3.5 m,73 km/h
15 kwi 26 21:54:08,1,4.9 m,79 km/h
15 kwi 26 22:01:46,1,5.0 m,68 km/h
15 kwi 26 22:03:38,1,5.2 m,62 km/h
15 kwi 26 22:19:25,2,5.5 m,71 km/h
16 kwi 26 0:05:54,1,5.1 m,46 km/h
16 kwi 26 0:08:12,2,5.2 m,32 km/h
16 kwi 26 0:09:56,1,3.4 m,67 km/h
16 kwi 26 0:17:00,1,4.5 m,60 km/h
16 kwi 26 0:18:30,2,5.4 m,42 km/h
16 kwi 26 1:03:15,1,9.0 m,33 km/h
16 kwi 26 2:04:00,1,4.2 m,95 km/h
16 kwi 26 4:42:18,2,5.0 m,64 km/h
16 kwi 26 4:47:27,1,4.4 m,66 km/h
16 kwi 26 5:21:22,2,3.7 m,66 km/h
16 kwi 26 5:47:40,2,4.7 m,68 km/h
16 kwi 26 5:48:40,2,4.4 m,88 km/h
16 kwi 26 5:48:57,2,4.6 m,68 km/h
16 kwi 26 5:48:59,2,4.4 m,74 km/h
16 kwi 26 5:50:07,2,4.0 m,77 km/h
16 kwi 26 5:55:49,2,4.7 m,72 km/h
16 kwi 26 5:58:23,2,4.5 m,79 km/h
16 kwi 26 6:04:13,1,6.6 m,75 km/h
16 kwi 26 6:09:22,1,5.1 m,92 km/h
16 kwi 26 6:10:21,2,5.7 m,86 km/h
16 kwi 26 6:24:18,1,5.1 m,82 km/h
16 kwi 26 6:24:28,1,4.1 m,74 km/h
16 kwi 26 6:29:36,2,4.4 m,77 km/h
16 kwi 26 6:39:00,2,4.8 m,79 km/h
16 kwi 26 6:45:45,2,5.0 m,66 km/h
16 kwi 26 6:47:19,2,3.0 m,90 km/h
16 kwi 26 6:49:46,2,3.8 m,82 km/h
16 kwi 26 6:51:01,1,4.9 m,77 km/h
16 kwi 26 6:51:34,1,14.8 m,76 km/h
16 kwi 26 6:52:53,2,4.3 m,86 km/h
16 kwi 26 6:56:03,2,4.3 m,87 km/h
16 kwi 26 6:57:22,2,5.3 m,91 km/h
16 kwi 26 7:03:59,2,4.0 m,71 km/h
16 kwi 26 7:05:45,1,4.7 m,59 km/h
16 kwi 26 7:09:28,2,4.8 m,66 km/h
16 kwi 26 7:10:02,2,6.2 m,74 km/h
16 kwi 26 7:11:20,2,4.7 m,77 km/h
16 kwi 26 7:13:10,2,4.7 m,78 km/h
16 kwi 26 7:14:53,1,6.0 m,51 km/h
16 kwi 26 7:15:18,2,4.8 m,79 km/h
16 kwi 26 7:16:47,1,5.2 m,58 km/h
16 kwi 26 7:18:09,2,4.2 m,68 km/h
16 kwi 26 7:18:22,2,5.2 m,83 km/h
16 kwi 26 7:19:20,1,7.0 m,54 km/h
16 kwi 26 7:21:38,1,5.1 m,83 km/h
16 kwi 26 7:21:51,1,3.8 m,67 km/h
16 kwi 26 7:22:00,2,4.7 m,58 km/h
16 kwi 26 7:32:55,2,5.5 m,73 km/h
16 kwi 26 7:33:36,2,3.8 m,61 km/h
16 kwi 26 7:33:38,2,4.7 m,56 km/h
16 kwi 26 7:36:28,2,4.6 m,88 km/h
16 kwi 26 7:41:16,1,4.8 m,82 km/h
16 kwi 26 7:41:30,1,4.1 m,79 km/h
16 kwi 26 7:42:08,1,4.5 m,73 km/h
16 kwi 26 7:43:27,2,14.4 m,70 km/h
16 kwi 26 7:44:09,1,4.4 m,86 km/h
16 kwi 26 7:46:47,2,5.0 m,73 km/h
16 kwi 26 7:47:58,1,3.7 m,81 km/h
16 kwi 26 7:49:52,1,4.1 m,95 km/h
16 kwi 26 7:52:59,1,6.1 m,65 km/h
16 kwi 26 7:54:46,2,3.3 m,62 km/h
16 kwi 26 7:55:55,1,4.1 m,58 km/h
16 kwi 26 7:57:12,2,4.3 m,83 km/h
16 kwi 26 8:00:09,1,4.5 m,62 km/h
16 kwi 26 8:02:41,2,5.7 m,112 km/h
16 kwi 26 8:04:07,1,4.1 m,61 km/h
16 kwi 26 8:04:50,2,4.0 m,84 km/h
16 kwi 26 8:05:28,2,4.4 m,74 km/h
16 kwi 26 8:06:19,1,4.3 m,53 km/h
16 kwi 26 8:09:09,1,4.0 m,67 km/h
16 kwi 26 8:09:46,1,3.8 m,32 km/h
16 kwi 26 8:10:45,2,5.2 m,62 km/h
16 kwi 26 8:13:01,1,8.0 m,51 km/h
16 kwi 26 8:14:37,2,4.2 m,65 km/h
16 kwi 26 8:15:12,2,4.0 m,71 km/h
16 kwi 26 8:16:51,1,3.8 m,66 km/h
16 kwi 26 8:16:56,2,5.0 m,59 km/h
16 kwi 26 8:17:07,1,7.4 m,70 km/h
16 kwi 26 8:17:32,2,4.4 m,119 km/h
16 kwi 26 8:17:50,1,3.9 m,69 km/h
16 kwi 26 8:18:53,2,4.3 m,61 km/h
16 kwi 26 8:18:53,1,4.4 m,55 km/h
16 kwi 26 8:19:40,1,4.3 m,65 km/h
16 kwi 26 8:20:00,1,4.3 m,72 km/h
16 kwi 26 8:20:53,1,4.5 m,77 km/h
16 kwi 26 8:21:16,1,5.4 m,73 km/h
16 kwi 26 8:21:48,2,4.3 m,88 km/h
16 kwi 26 8:24:47,2,4.9 m,77 km/h
16 kwi 26 8:25:56,1,3.4 m,62 km/h
16 kwi 26 8:29:35,2,4.8 m,66 km/h
16 kwi 26 8:33:38,2,7.3 m,51 km/h
16 kwi 26 8:35:43,2,7.0 m,55 km/h
16 kwi 26 8:35:51,1,3.4 m,54 km/h
16 kwi 26 8:36:18,2,7.4 m,59 km/h
16 kwi 26 8:36:22,2,3.6 m,59 km/h
16 kwi 26 8:37:58,2,6.2 m,71 km/h
16 kwi 26 8:38:15,1,4.3 m,50 km/h
16 kwi 26 8:38:31,2,4.9 m,60 km/h
16 kwi 26 8:41:00,1,3.7 m,91 km/h
16 kwi 26 8:50:52,1,4.5 m,67 km/h
16 kwi 26 8:51:55,1,4.5 m,75 km/h
16 kwi 26 8:52:46,2,3.1 m,70 km/h
16 kwi 26 8:56:07,1,4.7 m,64 km/h
16 kwi 26 8:57:04,1,4.7 m,77 km/h
16 kwi 26 8:59:14,1,5.4 m,86 km/h
16 kwi 26 9:01:35,1,4.7 m,76 km/h
16 kwi 26 9:04:05,2,4.7 m,70 km/h
16 kwi 26 9:04:22,2,5.1 m,83 km/h
16 kwi 26 9:08:22,1,4.4 m,71 km/h
16 kwi 26 9:08:50,1,4.6 m,70 km/h
16 kwi 26 9:09:17,2,4.3 m,55 km/h
16 kwi 26 9:09:35,1,3.8 m,60 km/h
,,,
Powered by DataCollect,,,
